FEEDBACK_APP;FEEDBACK_VALUE;FEEDBACK_DATE;USER_ID;DATE;RTT;DL;UL;DJ;UJ;DTH;UTH;SKYPE___VOICE_CALL___MOS;YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;NETWORK_CLASS;NETWORK_TYPE;MOBILE_OPERATOR;SIGNAL_STRENGTH_RSSI__dBm(0);SIGNAL_STRENGTH_LEVEL(0);IS_IN_AIRPLANE_MODE;IS_MOBILE_DATA_ENABLED;IS_ROAMING_DATA_ENABLED;IS_IN_ROAMING;IS_WIFI_CONNECTED;SIGNAL_STRENGTH_RSSI__dBm(1);SIGNAL_STRENGTH_LEVEL(1)
SPOTIFY___GENERAL___MOS;5;2019-04-19 10:55:49.428000;86ac0398-dca7-404a-bf79-4d23da9ec447;2019-04-19 10:56:12.129000;3835246,28;0;0;623187,18;495877,1;11543009,68;18944732,64;5;5;UNKNOWN;UNKNOWN;20815;-63;5;False;True;False;False;True;-65;4
HANGOUTS___GENERAL___MOS;4;2019-04-23 10:39:59.229000;84a0d1eb-3ae9-4427-a391-655d2e292d77;2019-04-23 10:39:33.473000;13386816,86;0;0;849974,86;363695;10238686,76;6843163,345;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
EMAIL___GENERAL___MOS;5;2019-05-07 13:08:14.111000;9a1161bd-9140-4c42-af7b-25f7423c73f1;2019-05-07 13:08:34.102000;51196364,58;0;0;791526,44;1510031,65;7699784,129;1837263,568;5;5;4G;LTE;20810;-111;3;False;True;True;False;False;+Inf;2147483647
YOUTUBE___VIDEO_PLAYBACK___S_144___MOS;5;2019-05-14 16:42:02.574000;aebcc31b-34b5-4fef-bd52-d8fab9cfb9ed;2019-05-14 16:41:53.845000;20748800;0;0;1717010,99;1172015,81;9591643,644;2002063,324;5;5;4G;LTE;310260;-100;3;False;True;True;False;False;-Inf;-2147483648
INSTAGRAM___GENERAL___MOS;5;2019-05-15 11:42:06.351000;d2b26cdd-5361-4d1b-bfe2-a26a6cd58b82;2019-05-15 11:41:54.839000;55369281,68;0;0;1886329,74;1787385,84;9838270,616;14514902,36;5;5;UNKNOWN;UNKNOWN;20815;-85;5;False;True;False;False;True;-70;4
NETFLIX___GENERAL___MOS;5;2019-05-16 17:52:21.667000;b9e9b780-31e6-4bb0-97ea-26638b99e5a1;2019-05-16 17:52:06.249000;32170579,68;0;0;303464,71;1178226;10041349,45;12625157,19;5;5;UNKNOWN;UNKNOWN;20815;-91;4;False;True;False;False;True;-46;5
TELEGRAM___GENERAL___MOS;5;2019-05-16 17:53:18.769000;b9e9b780-31e6-4bb0-97ea-26638b99e5a1;2019-05-16 17:53:06.030000;32183950,6;0;0;248586,17;1307066,82;8022137,351;9460067,506;5;5;UNKNOWN;UNKNOWN;20815;-93;4;False;True;False;False;True;-49;5
SKYPE___CHAT_AUDIO_MESSAGE___MOS;5;2019-05-16 17:57:29.991000;b9e9b780-31e6-4bb0-97ea-26638b99e5a1;2019-05-16 17:57:22.307000;35094907,31;0;0;222787,01;1337333,13;9765562,536;7560544,203;5;5;UNKNOWN;UNKNOWN;20815;-91;4;False;True;False;False;True;-46;5
SKYPE___CHAT_IMAGE_MESSAGE___MOS;5;2019-05-16 18:13:31.270000;4d8f5198-c6e6-49b4-ac57-02c5a949638e;2019-05-16 18:13:11.690000;30738761,96;0;0;129933,1;1246912,31;9697205,486;10190337,24;5;5;UNKNOWN;UNKNOWN;20815;-95;4;False;True;False;False;True;-59;5
SKYPE___CHAT___MOS;5;2019-05-16 18:29:17.625000;b74aad70-0b99-4c4f-a932-509b36ef7b7d;2019-05-16 18:29:05.819000;30262684,87;0;0;99144,69;995264,61;10105063,92;10404547,18;5;5;UNKNOWN;UNKNOWN;20815;-95;4;False;True;False;False;True;-62;5
