FEEDBACK_APP;FEEDBACK_VALUE;FEEDBACK_DATE;USER_ID;DATE;RTT;DL;UL;DJ;UJ;DTH;UTH;SKYPE___VOICE_CALL___MOS;YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;NETWORK_CLASS;NETWORK_TYPE;MOBILE_OPERATOR;SIGNAL_STRENGTH_RSSI__dBm(0);SIGNAL_STRENGTH_LEVEL(0);IS_IN_AIRPLANE_MODE;IS_MOBILE_DATA_ENABLED;IS_ROAMING_DATA_ENABLED;IS_IN_ROAMING;IS_WIFI_CONNECTED;SIGNAL_STRENGTH_RSSI__dBm(1);SIGNAL_STRENGTH_LEVEL(1)
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:48:44.769000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:49:21.504000;129938443,9;0;0;191000,56;2499875,7;2971408,477;29335149,8;5;4;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:47:34.878000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:47:38.133000;165508634,6;0;0;428678,46;2567128,38;1750985,507;1684038,765;4;4;UNKNOWN;UNKNOWN;63601;-68;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-16 09:48:28.482000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:49:02.536000;329342189,4;0;0;2217979,68;4026196,84;206766,1582;1152765,337;4;1;3G;HSPAP;63601;-81;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:48:50.450000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:49:21.504000;129938443,9;0;0;191000,56;2499875,7;2971408,477;29335149,8;5;4;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:48:59.090000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:49:21.504000;129938443,9;0;0;191000,56;2499875,7;2971408,477;29335149,8;5;4;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:49:10.975000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:49:21.504000;129938443,9;0;0;191000,56;2499875,7;2971408,477;29335149,8;5;4;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:48:06.426000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:47:38.133000;165508634,6;0;0;428678,46;2567128,38;1750985,507;1684038,765;4;4;UNKNOWN;UNKNOWN;63601;-68;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;3;2019-07-16 09:49:35.242000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:50:04.873000;164766518,5;0;0;517959,94;1823710,14;1647468,626;903274,9298;4;4;3G;HSPA;63601;-68;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:49:41.649000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:50:04.873000;164766518,5;0;0;517959,94;1823710,14;1647468,626;903274,9298;4;4;3G;HSPA;63601;-68;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:50:00.394000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:50:11.722000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:50:16.455000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:50:21.140000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:50:39.127000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;4;2019-07-16 09:49:32.957000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:47:38.133000;165508634,6;0;0;428678,46;2567128,38;1750985,507;1684038,765;4;4;UNKNOWN;UNKNOWN;63601;-68;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;3;2019-07-16 09:50:50.039000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:50:43.437000;164371023,1;0;0;224931,48;1780680,72;242227,6457;496753,0142;5;5;3G;HSPA;63601;-70;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:50:51.486000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:51:00.552000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:50:43.437000;164371023,1;0;0;224931,48;1780680,72;242227,6457;496753,0142;5;5;3G;HSPA;63601;-70;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:50:58.622000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;4;2019-07-16 09:49:54.093000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:51:31.548000;2617707722;0;0;10536061,6;33507443,16;196599,8522;735918,922;4;2;UNKNOWN;UNKNOWN;63601;-86;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;3;2019-07-16 09:51:12.136000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:51:20.808000;167235815,4;0;0;448977,56;1641011,58;725792,78;1536296,943;4;4;3G;HSPA;63601;-71;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:51:06.290000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;4;2019-07-16 09:50:00.756000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:51:31.548000;2617707722;0;0;10536061,6;33507443,16;196599,8522;735918,922;4;2;UNKNOWN;UNKNOWN;63601;-86;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;4;2019-07-16 09:50:07.649000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:51:31.548000;2617707722;0;0;10536061,6;33507443,16;196599,8522;735918,922;4;2;UNKNOWN;UNKNOWN;63601;-86;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:51:10.709000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:51:16.339000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:51:24.776000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:50:26.347000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:51:31.548000;2617707722;0;0;10536061,6;33507443,16;196599,8522;735918,922;4;2;UNKNOWN;UNKNOWN;63601;-86;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:50:34.160000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:51:31.548000;2617707722;0;0;10536061,6;33507443,16;196599,8522;735918,922;4;2;UNKNOWN;UNKNOWN;63601;-86;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:51:32.215000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:51:36.661000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:50:09.974000;148843709,2;0;0;241801,92;3771727,26;2692184,791;10296130,34;5;5;4G;LTE;63601;-102;4;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:50:48.309000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:51:31.548000;2617707722;0;0;10536061,6;33507443,16;196599,8522;735918,922;4;2;UNKNOWN;UNKNOWN;63601;-86;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:51:41.444000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:53:09.701000;138661681,4;0;0;926484,82;3108571,28;1347482,484;6158066,367;5;5;4G;LTE;63601;-100;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:52:10.180000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:09.267000;184081103,1;0;0;589599,68;1892667,08;729049,7914;1154953,384;4;5;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:52:18.566000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:09.267000;184081103,1;0;0;589599,68;1892667,08;729049,7914;1154953,384;4;5;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;3;2019-07-16 09:51:50.762000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:53:09.701000;138661681,4;0;0;926484,82;3108571,28;1347482,484;6158066,367;5;5;4G;LTE;63601;-100;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:52:22.322000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:09.267000;184081103,1;0;0;589599,68;1892667,08;729049,7914;1154953,384;4;5;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:52:07.551000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:53:09.701000;138661681,4;0;0;926484,82;3108571,28;1347482,484;6158066,367;5;5;4G;LTE;63601;-100;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:52:26.385000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:09.267000;184081103,1;0;0;589599,68;1892667,08;729049,7914;1154953,384;4;5;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:52:30.130000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:49.361000;164493718,4;0;0;486395,98;1776087,16;1630358,217;135509,7931;4;4;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:52:19.741000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:53:09.701000;138661681,4;0;0;926484,82;3108571,28;1347482,484;6158066,367;5;5;4G;LTE;63601;-100;4;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:51:30.211000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:51:31.548000;2617707722;0;0;10536061,6;33507443,16;196599,8522;735918,922;4;2;UNKNOWN;UNKNOWN;63601;-86;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:52:26.857000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:53:09.701000;138661681,4;0;0;926484,82;3108571,28;1347482,484;6158066,367;5;5;4G;LTE;63601;-100;4;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:51:37.227000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:51:31.548000;2617707722;0;0;10536061,6;33507443,16;196599,8522;735918,922;4;2;UNKNOWN;UNKNOWN;63601;-86;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 09:52:34.043000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:53:09.701000;138661681,4;0;0;926484,82;3108571,28;1347482,484;6158066,367;5;5;4G;LTE;63601;-100;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:53:15.052000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:49.361000;164493718,4;0;0;486395,98;1776087,16;1630358,217;135509,7931;4;4;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:53:12.744000;1802d1ed-3967-45a2-a29b-a5a0125b0ae5;2019-07-16 09:53:13.468000;127070872,4;0;0;319501,44;2181328,04;3570217,665;6446885,627;5;4;4G;LTE;63601;-104;4;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:53:18.297000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:49.361000;164493718,4;0;0;486395,98;1776087,16;1630358,217;135509,7931;4;4;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:53:22.439000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:49.361000;164493718,4;0;0;486395,98;1776087,16;1630358,217;135509,7931;4;4;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 09:53:25.686000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-16 09:52:49.361000;164493718,4;0;0;486395,98;1776087,16;1630358,217;135509,7931;4;4;3G;HSPAP;63601;-80;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:58:56.950000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:59:23.173000;2004652236;0;0;31983211,52;31852251,82;580482,2976;67210,72005;5;3;UNKNOWN;UNKNOWN;63601;-74;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:59:07.467000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:59:23.173000;2004652236;0;0;31983211,52;31852251,82;580482,2976;67210,72005;5;3;UNKNOWN;UNKNOWN;63601;-74;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:59:13.992000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:59:23.173000;2004652236;0;0;31983211,52;31852251,82;580482,2976;67210,72005;5;3;UNKNOWN;UNKNOWN;63601;-74;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:59:20.247000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:59:23.173000;2004652236;0;0;31983211,52;31852251,82;580482,2976;67210,72005;5;3;UNKNOWN;UNKNOWN;63601;-74;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:59:26.165000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:59:23.173000;2004652236;0;0;31983211,52;31852251,82;580482,2976;67210,72005;5;3;UNKNOWN;UNKNOWN;63601;-74;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:59:32.659000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:59:23.173000;2004652236;0;0;31983211,52;31852251,82;580482,2976;67210,72005;5;3;UNKNOWN;UNKNOWN;63601;-74;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:59:38.202000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 09:59:23.173000;2004652236;0;0;31983211,52;31852251,82;580482,2976;67210,72005;5;3;UNKNOWN;UNKNOWN;63601;-74;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:59:44.661000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:04.924000;595781327,7;0;0;3868020,38;8202638,7;237665,458;545119,449;4;4;UNKNOWN;UNKNOWN;63601;-76;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 09:59:50.020000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:04.924000;595781327,7;0;0;3868020,38;8202638,7;237665,458;545119,449;4;4;UNKNOWN;UNKNOWN;63601;-76;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;4;2019-07-16 09:59:57.190000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:04.924000;595781327,7;0;0;3868020,38;8202638,7;237665,458;545119,449;4;4;UNKNOWN;UNKNOWN;63601;-76;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 10:00:02.904000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:04.924000;595781327,7;0;0;3868020,38;8202638,7;237665,458;545119,449;4;4;UNKNOWN;UNKNOWN;63601;-76;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 10:00:09.032000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:04.924000;595781327,7;0;0;3868020,38;8202638,7;237665,458;545119,449;4;4;UNKNOWN;UNKNOWN;63601;-76;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;4;2019-07-16 10:00:15.824000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:04.924000;595781327,7;0;0;3868020,38;8202638,7;237665,458;545119,449;4;4;UNKNOWN;UNKNOWN;63601;-76;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;5;2019-07-16 10:00:22.025000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:04.924000;595781327,7;0;0;3868020,38;8202638,7;237665,458;545119,449;4;4;UNKNOWN;UNKNOWN;63601;-76;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;4;2019-07-16 10:00:28.654000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:47.070000;280127006,1;0;0;781831,28;3256143,12;1432135,772;240046,8803;4;5;UNKNOWN;UNKNOWN;63601;-70;5;False;False;False;False;False;-Inf;-2147483648
SKYPE___GENERAL___MOS;4;2019-07-16 10:00:34.084000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:47.070000;280127006,1;0;0;781831,28;3256143,12;1432135,772;240046,8803;4;5;UNKNOWN;UNKNOWN;63601;-70;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 10:00:44.377000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:47.070000;280127006,1;0;0;781831,28;3256143,12;1432135,772;240046,8803;4;5;UNKNOWN;UNKNOWN;63601;-70;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 10:00:49.959000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:47.070000;280127006,1;0;0;781831,28;3256143,12;1432135,772;240046,8803;4;5;UNKNOWN;UNKNOWN;63601;-70;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 10:01:03.684000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:47.070000;280127006,1;0;0;781831,28;3256143,12;1432135,772;240046,8803;4;5;UNKNOWN;UNKNOWN;63601;-70;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 10:01:09.330000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:00:47.070000;280127006,1;0;0;781831,28;3256143,12;1432135,772;240046,8803;4;5;UNKNOWN;UNKNOWN;63601;-70;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 10:01:16.127000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:01:39.556000;183098169,3;0;0;936272,4;3113147,54;63198,87688;953727,2025;4;4;UNKNOWN;UNKNOWN;63601;-73;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 10:01:22.435000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:01:39.556000;183098169,3;0;0;936272,4;3113147,54;63198,87688;953727,2025;4;4;UNKNOWN;UNKNOWN;63601;-73;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 10:01:28.621000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:01:39.556000;183098169,3;0;0;936272,4;3113147,54;63198,87688;953727,2025;4;4;UNKNOWN;UNKNOWN;63601;-73;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-16 10:01:34.085000;f72bb842-0915-415d-86a1-f3ef4f0cbbb7;2019-07-16 10:01:39.556000;183098169,3;0;0;936272,4;3113147,54;63198,87688;953727,2025;4;4;UNKNOWN;UNKNOWN;63601;-73;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 10:10:44.168000;547119ec-f0f8-4246-b8b6-db8a7c881e5c;2019-07-16 10:10:39.850000;154428513,1;0;0;901794,24;1726113,68;9686649,279;6980441,708;5;5;4G;LTE;63601;-91;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;3;2019-07-16 11:25:53.199000;cb37e0a5-814b-4d20-a5e4-7def1641e7b5;2019-07-16 11:25:33.787000;167833363,3;0;0;501578,32;1777095,6;1665804,412;25432,8409;4;4;3G;HSPAP;63601;-65;5;False;True;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-16 12:52:36.042000;547119ec-f0f8-4246-b8b6-db8a7c881e5c;2019-07-16 12:52:29.071000;153366892,3;0;0;194801,12;1956584,78;9543256,933;5335911,571;1;5;4G;LTE;63601;-91;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:23:34.132000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:23:38.460000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:23:43.972000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:23:43.972000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:23:51.242000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:23:55.706000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:24:02.501000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:24:12.628000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:24:21.167000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-17 11:24:24.735000;4fc50d8d-d73a-4fbe-90c2-121b20cc8902;2019-07-17 11:23:32.244000;10110425037;0;0;5978604,92;34269013,66;222130,7329;200375,585;5;1;3G;HSPAP;63601;-77;5;False;False;False;False;False;-Inf;-2147483648
